"Protein.IDs"	"Protein.names"	"Gene.names"	"Log2..UVC..UVC"	"p.Value.adjusted"	"ORF"
"Q03612"	"TY1A-PR1;TY1A-A;TY1A-DR4;TY1B-PR2;TY1B-ML1;TY1B-DR5;TY1B-H;TY1B-PR3;TY1A-PL;TY1A-LR2;TY1A-ER1;TY1A-DR6;TY1A-LR4;TY1B-JR2;TY1B-ML2;TY1B-ER1;TY1B-GR1;TY1B-OL;TY1B-NL2"	"Transposon Ty1-PR1 Gag polyprotein;Capsid protein;Gag-p4;Transposon Ty1-A Gag polyprotein;Capsid protein;Gag-p4;Transposon Ty1-DR4 Gag polyprotein;Capsid protein;Gag-p4;Transposon Ty1-PR2 Gag-Pol polyprotein;Capsid protein;Ty1 protease;Integrase;Reverse transcriptase/ribonuclease H;Transposon Ty1-ML1 Gag-Pol polyprotein;Capsid protein;Ty1 protease;Integrase;Reverse transcriptase/ribonuclease H;Transposon Ty1-DR5 Gag-Pol polyprotein;Capsid protein;Ty1 protease;Integrase;Reverse transcriptase/ribonuclease H;Transposon Ty1-H Gag-Pol polyprotein;Capsid protein;Ty1 protease;Integrase;Reverse transcriptase/ribonuclease H;Transposon Ty1-PR3 Gag-Pol polyprotein;Capsid protein;Ty1 protease;Integrase;Reverse transcriptase/ribonuclease H;Transposon Ty1-PL Gag polyprotein;Capsid protein;Gag-p4;Transposon Ty1-LR2 Gag polyprotein;Capsid protein;Gag-p4;Transposon Ty1-ER1 Gag polyprotein;Capsid protein;Gag-p4;Transposon Ty1-DR6 Gag polyprotein;Capsid protein;Gag-p4;Transposon Ty1-LR4 Gag polyprotein;Capsid protein;Gag-p4;Transposon Ty1-JR2 Gag-Pol polyprotein;Capsid protein;Ty1 protease;Integrase;Reverse transcriptase/ribonuclease H;Transposon Ty1-ML2 Gag-Pol polyprotein;Capsid protein;Ty1 protease;Integrase;Reverse transcriptase/ribonuclease H;Transposon Ty1-ER1 Gag-Pol polyprotein;Capsid protein;Ty1 protease;Integrase;Reverse transcriptase/ribonuclease H;Transposon Ty1-GR1 Gag-Pol polyprotein;Capsid protein;Ty1 protease;Integrase;Reverse transcriptase/ribonuclease H;Transposon Ty1-OL Gag-Pol polyprotein;Capsid protein;Ty1 protease;Integrase;Reverse transcriptase/ribonuclease H;Transposon Ty1-NL2 Gag-Pol polyprotein;Capsid protein;Ty1 protease;Integrase;Reverse transcriptase/ribonuclease H"	1.96577687791114	0.00152732257625318	""
"P0C2J0"	"TY1B-PR2;TY1B-ML1;TY1B-DR5;TY1B-H;TY1B-NL2"	"Transposon Ty1-PR2 Gag-Pol polyprotein;Capsid protein;Ty1 protease;Integrase;Reverse transcriptase/ribonuclease H;Transposon Ty1-ML1 Gag-Pol polyprotein;Capsid protein;Ty1 protease;Integrase;Reverse transcriptase/ribonuclease H;Transposon Ty1-DR5 Gag-Pol polyprotein;Capsid protein;Ty1 protease;Integrase;Reverse transcriptase/ribonuclease H;Transposon Ty1-H Gag-Pol polyprotein;Capsid protein;Ty1 protease;Integrase;Reverse transcriptase/ribonuclease H;Transposon Ty1-NL2 Gag-Pol polyprotein;Capsid protein;Ty1 protease;Integrase;Reverse transcriptase/ribonuclease H"	1.95221344022247	0.00652091144653491	""
"P53952"	""	"Uncharacterized protein YNL050C"	1.92997187477349	0.000790958837726936	"YNL050C"
"P32787"	"MGM101"	"Mitochondrial genome maintenance protein MGM101"	1.92350664352332	0.000454808390597264	"YJR144W"
"P25642"	"IMG2"	"54S ribosomal protein IMG2, mitochondrial"	1.91712678787564	0.000463704936670333	"YCR071C"
"P32915"	"SEC61"	"Protein transport protein SEC61"	1.91468097372914	0.00208420302333305	"YLR378C"
"P32527"	"ZUO1"	"Zuotin"	1.91249899889473	0.000410420625653082	"YGR285C"
"Q01662"	"MAP1"	"Methionine aminopeptidase 1"	1.9100439838356	0.000361833730886743	"YLR244C"
"P53235"	"YGR054W"	"Eukaryotic translation initiation factor 2A"	1.90332676318625	0.000829963748036262	"YGR054W"
"P38688"	"SRP72"	"Signal recognition particle subunit SRP72"	1.90212060273579	0.000906339735310097	"YPL210C"
"Q01163"	"RSM23"	"37S ribosomal protein S23, mitochondrial"	1.88947915618641	0.00087264679982607	"YGL129C"
"Q03532"	"HAS1"	"ATP-dependent RNA helicase HAS1"	1.88099468786325	0.000455138907813995	"YMR290C"
"Q99216"	"PNO1"	"Pre-rRNA-processing protein PNO1"	1.88057660877522	0.000489345566286565	"YOR145C"
"P07806"	"VAS1"	"Valine--tRNA ligase, mitochondrial"	1.87697336012343	0.000744874886827033	"YGR094W"
"P15731"	"UBC4"	"Ubiquitin-conjugating enzyme E2 4"	1.87496857324844	0.0383354895620444	"YBR082C"
"P07264"	"LEU1"	"3-isopropylmalate dehydratase"	1.86868327191463	0.000824984409493711	"YGL009C"
"P05318"	"RPP1A"	"60S acidic ribosomal protein P1-alpha"	1.86356166710584	0.0150984252215935	"YDL081C"
"P38278"	"BMT2"	"25S rRNA (adenine(2142)-N(1))-methyltransferase"	1.85670868256526	0.0064105877420892	"YBR141C"
"P00817"	"IPP1"	"Inorganic pyrophosphatase"	1.85652665898098	0.00248651037423228	"YBR011C"
"P15646"	"NOP1"	"rRNA 2-O-methyltransferase fibrillarin"	1.84982703009853	0.000890129704970368	"YDL014W"
"P36160"	"RPF2"	"Ribosome biogenesis protein RPF2"	1.84725405473665	0.000417414478554321	"YKR081C"
"Q03799"	"MRPS8"	"37S ribosomal protein S8, mitochondrial"	1.84363256098796	0.000889414244127405	"YMR158W"
"P20424"	"SRP54"	"Signal recognition particle subunit SRP54"	1.8427887683009	0.000442564839555403	"YPR088C"
"P49367"	"LYS4"	"Homoaconitase, mitochondrial"	1.83984471097473	0.00585186553759972	"YDR234W"
"P25635"	"PWP2"	"Periodic tryptophan protein 2"	1.83674043090309	0.000771765780840069	"YCR057C"
"P53276"	"UTP8"	"U3 small nucleolar RNA-associated protein 8"	1.8251771714343	0.000738173050834443	"YGR128C"
"P0CX30"	"RPS23B;RPS23A"	"40S ribosomal protein S23-B;40S ribosomal protein S23-A"	1.82061230025896	0.00087264679982607	"YGR118W"
"P00958"	"MES1"	"Methionine--tRNA ligase, cytoplasmic"	1.8161537663755	0.000908546492719956	"YGR264C"
"P48567"	"PUS4"	"tRNA pseudouridine synthase 4"	1.8070236008748	0.000715608392964238	"YNL292W"
"Q06106"	"MRD1"	"Multiple RNA-binding domain-containing protein 1"	1.79815830003108	0.00165325157535963	"YPR112C"
"P34239"	"LST4"	"Protein LST4"	1.79331829253104	0.0184634787499228	"YKL176C"
"P40150"	"SSB1;SSB2"	"Heat shock protein SSB1;Heat shock protein SSB2"	1.78705528672625	0.00151223616459514	"YNL209W"
"P04912"	"HTA2;HTA1"	"Histone H2A.2;Histone H2A.1"	1.77578008176699	0.00267689062843189	"YBL003C"
"P02309"	"HHF1"	"Histone H4"	1.76626437851186	0.00755332975014451	"YNL030W"
"Q03430"	"RSM28"	"37S ribosomal protein RSM28, mitochondrial"	1.76255957159499	0.00140982999835259	"YDR494W"
"P05694"	"MET6"	"5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase"	1.74591539526129	0.00381923741557789	"YER091C"
"P02294"	"HTB2;HTB1"	"Histone H2B.2;Histone H2B.1"	1.74321523013604	0.0120672800553993	"YBL002W"
"P47120"	"LIA1"	"Deoxyhypusine hydroxylase"	1.72833952749032	0.000763831751083935	"YJR070C"
"P40055"	"UTP7"	"U3 small nucleolar RNA-associated protein 7"	1.72758420510923	0.00208420302333305	"YER082C"
"P38833"	"YHR127W"	"Uncharacterized protein YHR127W"	1.72503480106024	0.00494109627350683	"YHR127W"
"Q12068"	"GRE2"	"NADPH-dependent methylglyoxal reductase GRE2"	1.7151826210002	0.00101206029979361	"YOL151W"
"P28272"	"URA1"	"Dihydroorotate dehydrogenase (fumarate)"	1.71282439787022	0.0194941939511201	"YKL216W"
"P45818"	"ROK1"	"ATP-dependent RNA helicase ROK1"	1.71185685197137	0.00663687904908589	"YGL171W"
"P38985"	"SRP14"	"Signal recognition particle subunit SRP14"	1.69992689934257	0.00773548417542245	"YDL092W"
"P32836"	"GSP1;GSP2"	"GTP-binding nuclear protein GSP1/CNR1;GTP-binding nuclear protein GSP2/CNR2"	1.69385800370597	0.00237876794240994	"YOR185C"
"P40010"	"NUG1"	"Nuclear GTP-binding protein NUG1"	1.69223305513601	0.00111183136548218	"YER006W"
"Q08647"	"PUS7"	"Multisubstrate pseudouridine synthase 7"	1.68958367286221	0.0014540885712813	"YOR243C"
"P24276"	"SSD1"	"Protein SSD1"	1.68505418091976	0.00087264679982607	"YDR293C"
"P20081"	"FPR1"	"FK506-binding protein 1"	1.6823420090002	0.000937478508099498	"YNL135C"
"P53912"	""	"Uncharacterized protein YNL134C"	1.67976280524177	0.00161228228569358	"YNL134C"
"P11484"	"SSB1"	"Heat shock protein SSB1"	1.6638490852983	0.00167536822170774	"YDL229W"
"P40040"	"THO1"	"Protein THO1"	1.65233297569044	0.000744874886827033	"YER063W"
"Q04305"	"UTP15"	"U3 small nucleolar RNA-associated protein 15"	1.64966346501763	0.000802527542672926	"YMR093W"
"P38779"	"CIC1"	"Proteasome-interacting protein CIC1"	1.64501335814927	0.00136742554749178	"YHR052W"
"P14540"	"FBA1"	"Fructose-bisphosphate aldolase"	1.6428436241597	0.00174825657162239	"YKL060C"
"Q05946"	"UTP13"	"U3 small nucleolar RNA-associated protein 13"	1.63317529513832	0.0029062162554307	"YLR222C"
"Q3E757"	"RPL11B;RPL11A"	"60S ribosomal protein L11-B;60S ribosomal protein L11-A"	1.6270193010291	0.00148430816537666	"YGR085C"
"Q08287"	"NOP8"	"60S ribosome subunit biogenesis protein NOP8"	1.62425899444476	0.00184563320369605	"YOL144W"
"P41819"	"DIM1"	"Dimethyladenosine transferase"	1.62236960742516	0.00764609140488522	"YPL266W"
"Q08285"	"RRP40"	"Exosome complex component RRP40"	1.60314950602816	0.00340496241900572	"YOL142W"
"P32582"	"CYS4"	"Cystathionine beta-synthase"	1.59695057518669	0.015773850788496	"YGR155W"
"P07172"	"HIS5"	"Histidinol-phosphate aminotransferase"	1.59305533765885	0.017655158556403	"YIL116W"
"P53731"	"ARC35"	"Actin-related protein 2/3 complex subunit 2"	1.591884528965	0.0064105877420892	"YNR035C"
"P40825"	"ALA1"	"Alanine--tRNA ligase, mitochondrial"	1.59112601949399	0.00250019987127666	""
"P38708"	"YHR020W"	"Putative proline--tRNA ligase YHR020W"	1.59059318386276	0.00227489791343881	"YHR020W"
"P33759"	"MRPS5"	"37S ribosomal protein S5, mitochondrial"	1.58554000522873	0.0205867067248127	"YBR251W"
"Q12211"	"PUS1"	"tRNA pseudouridine synthase 1"	1.57792379976479	0.00309514367970833	"YPL212C"
"P27616"	"ADE1"	"Phosphoribosylaminoimidazole-succinocarboxamide synthase"	1.56452318889542	0.0142341758634381	"YAR015W"
"P46959"	"GCD14"	"tRNA (adenine(58)-N(1))-methyltransferase catalytic subunit TRM61"	1.55800661686419	0.00652103993366989	"YJL125C"
"Q03862"	"ARX1"	"Probable metalloprotease ARX1"	1.55771711882711	0.00162098680535994	"YDR101C"
"P29295"	"HRR25"	"Casein kinase I homolog HRR25"	1.55419958563361	0.0280822682725608	"YPL204W"
"Q05911"	"ADE13"	"Adenylosuccinate lyase"	1.54703847659419	0.00190548247000026	"YLR359W"
"P32487"	"LYP1"	"Lysine-specific permease"	1.54538778906077	0.0438704132707566	"YNL268W"
"P22217"	"TRX1"	"Thioredoxin-1"	1.53759736937392	0.00652091144653491	"YLR043C"
"P23254"	"TKL1"	"Transketolase 1"	1.52871205043228	0.00699123500978923	"YPR074C"
"Q02785"	"PDR12"	"ATP-dependent permease PDR12"	1.52669827316235	0.00132157576519855	"YPL058C"
"P24280"	"SEC14"	"SEC14 cytosolic factor"	1.51780520356054	0.00148430816537666	"YMR079W"
"P04046"	"ADE4"	"Amidophosphoribosyltransferase"	1.51435131310384	0.00151113010787294	"YMR300C"
"P38777"	"FSH1"	"Family of serine hydrolases 1"	1.50944523066637	0.0012098204958535	"YHR049W"
"P47077"	"NOP9"	"Nucleolar protein 9"	1.50254017170029	0.00326591414256951	"YJL010C"
"P00812"	"CAR1"	"Arginase"	1.49701993711264	0.00493854637857641	"YPL111W"
"P15891"	"ABP1"	"Actin-binding protein"	1.48612143073166	0.00700858029673044	"YCR088W"
"Q04867"	""	"Putative methyltransferase YMR310C"	1.47729655004441	0.0173681588953879	"YMR310C"
"P29311"	"BMH1"	"Protein BMH1"	1.4757975090796	0.0091351873626964	"YER177W"
"P25343"	"RVS161"	"Reduced viability upon starvation protein 161"	1.47535469454073	0.00922800042967652	"YCR009C"
"P14843"	"ARO3"	"Phospho-2-dehydro-3-deoxyheptonate aldolase, phenylalanine-inhibited"	1.47129713401646	0.00577885453000902	"YDR035W"
"P34247"	"UTP11"	"U3 small nucleolar RNA-associated protein 11"	1.47092187882747	0.00862118558129655	"YKL099C"
"P40075"	"SCS2"	"Vesicle-associated membrane protein-associated protein SCS2"	1.46626649761147	0.0191584453747145	"YER120W"
"P17558"	"PET123"	"37S ribosomal protein PET123, mitochondrial"	1.46547351542362	0.00634305884025872	"YOR158W"
"P53972"	"RCM1"	"25S rRNA (cytosine(2278)-C(5))-methyltransferase"	1.46293489270747	0.00270842131453002	"YNL022C"
"P53741"	"BRE5"	"UBP3-associated protein BRE5"	1.46239405568231	0.0115721056251702	"YNR051C"
"Q04599"	"MRPL1"	"54S ribosomal protein L1, mitochondrial"	1.45525297530505	0.00466523677356781	"YDR116C"
"P38912"	"TIF11"	"Eukaryotic translation initiation factor 1A"	1.45316362503499	0.00378820435202649	"YMR260C"
"P40159"	""	"Uncharacterized protein YNL208W"	1.44377026483402	0.0055800579924142	"YNL208W"
"P17255"	"VMA1"	"V-type proton ATPase catalytic subunit A;Endonuclease PI-SceI"	1.43987372813643	0.00364944328730096	"YDL185W"
"Q06287"	"EMG1"	"Ribosomal RNA small subunit methyltransferase NEP1"	1.43961041322097	0.00599832363825958	"YLR186W"
"P49723"	"RNR4"	"Ribonucleoside-diphosphate reductase small chain 2"	1.43668672556437	0.00198746044783934	"YGR180C"
"Q02260"	"SMD1"	"Small nuclear ribonucleoprotein Sm D1"	1.43524420877906	0.00153929118573642	"YGR074W"
"P89886"	"TMA20"	"Translation machinery-associated protein 20"	1.43176429514017	0.0019659437167033	"YER007C-A"
"Q03246"	"MRPS17"	"37S ribosomal protein S17, mitochondrial"	1.42975280712557	0.0018472909347823	"YMR188C"
"P41338"	"ERG10"	"Acetyl-CoA acetyltransferase"	1.42851658782586	0.0205752980416146	"YPL028W"
"P23542"	"AAT2"	"Aspartate aminotransferase, cytoplasmic"	1.4213830866105	0.0204598714975896	"YLR027C"
"P32598"	"GLC7"	"Serine/threonine-protein phosphatase PP1-2"	1.41802204705627	0.00898113666325299	"YER133W"
"P07245"	"ADE3"	"C-1-tetrahydrofolate synthase, cytoplasmic;Methylenetetrahydrofolate dehydrogenase;Methenyltetrahydrofolate cyclohydrolase;Formyltetrahydrofolate synthetase"	1.41570231980068	0.00258804218981299	"YGR204W"
"P53090"	"ARO8"	"Aromatic/aminoadipate aminotransferase 1"	1.4072330659301	0.00834775640890055	"YGL202W"
"P10659"	"SAM1"	"S-adenosylmethionine synthase 1"	1.39843474464154	0.0072169393811709	"YLR180W"
"P08536"	"MET3"	"Sulfate adenylyltransferase"	1.39560105906091	0.0152264573452702	"YJR010W"
"P25294"	"SIS1"	"Protein SIS1"	1.39479841059672	0.00263811763945738	"YNL007C"
"P52910"	"ACS2"	"Acetyl-coenzyme A synthetase 2"	1.39132022503895	0.00368468130122911	"YLR153C"
"P00925"	"ENO2;ENO1"	"Enolase 2;Enolase 1"	1.39057061477684	0.00645527672064176	"YHR174W"
"P11972"	"SST2"	"Protein SST2"	1.38779338784156	0.00334843339492651	"YLR452C"
"P39729"	"RBG1"	"Ribosome-interacting GTPase 1"	1.38771511286699	0.00533504308379623	"YAL036C"
"P53598"	"LSC1"	"Succinyl-CoA ligase [ADP-forming] subunit alpha, mitochondrial"	1.38462418204792	0.00260932467512975	"YOR142W"
"P07244"	"ADE5,7"	"Bifunctional purine biosynthetic protein ADE5,7;Phosphoribosylamine--glycine ligase;Phosphoribosylformylglycinamidine cyclo-ligase"	1.38160945508155	0.0101775580027118	"YGL234W"
"Q08444"	"NOB1"	"20S-pre-rRNA D-site endonuclease NOB1"	1.38064570585324	0.00654524907642782	"YOR056C"
"P38788"	"SSZ1"	"Ribosome-associated complex subunit SSZ1"	1.38037994757559	0.00489621282695409	"YHR064C"
"P03874"	"CBP2"	"Cytochrome B pre-mRNA-processing protein 2"	1.38006784784914	0.00270842131453002	"YHL038C"
"P32388"	"MRP49"	"54S ribosomal protein MRP49, mitochondrial"	1.38003391307925	0.0157815939752244	"YKL167C"
"P22138"	"RPA135"	"DNA-directed RNA polymerase I subunit RPA135"	1.37976541367398	0.0166503279978876	"YPR010C"
"Q07896"	"NOC3"	"Nucleolar complex-associated protein 3"	1.37888473616928	0.00198864348797891	"YLR002C"
"Q12074"	"SPE3"	"Spermidine synthase"	1.37512530052718	0.00773223695835321	"YPR069C"
"P38972"	"ADE6"	"Phosphoribosylformylglycinamidine synthase"	1.374981399199	0.0066003319508843	"YGR061C"
"P39976"	"DLD3"	"D-lactate dehydrogenase [cytochrome] 3"	1.37219567097357	0.00288194327561229	"YEL071W"
"Q06672"	"TSR2"	"Pre-rRNA-processing protein TSR2"	1.37101923039387	0.0160852571114937	"YLR435W"
"P80210"	"ADE12"	"Adenylosuccinate synthetase"	1.36643131492137	0.00219392127422796	"YNL220W"
"P28777"	"ARO2"	"Chorismate synthase"	1.36488542252208	0.00604897318864386	"YGL148W"
"P34223"	"SHP1"	"UBX domain-containing protein 1"	1.3628730266007	0.0236748356641272	"YBL058W"
"Q06217"	"SMD2"	"Small nuclear ribonucleoprotein Sm D2"	1.35356485233649	0.00279558020671168	"YLR275W"
"P50896"	"PSP1"	"Protein PSP1"	1.35353648433122	0.006314676389027	"YDR505C"
"P40156"	"RRG9"	"Required for respiratory growth protein 9, mitochondrial"	1.35230644057868	0.00208420302333305	"YNL213C"
"P25270"	"MRM1"	"rRNA methyltransferase 1, mitochondrial"	1.35168010245757	0.00256009893683322	"YOR201C"
"P32368"	"SAC1"	"Phosphoinositide phosphatase SAC1"	1.34877305001227	0.00395195670969631	"YKL212W"
"Q07807"	"PUF3"	"mRNA-binding protein PUF3"	1.34575949889614	0.0083322995211242	"YLL013C"
"P35193"	"ATG19"	"Autophagy-related protein 19"	1.34369976960776	0.0219345972724186	"YOL082W"
"P53617"	"NRD1"	"Protein NRD1"	1.34264127785505	0.00489175234972782	"YNL251C"
"P38143"	"GPX2"	"Glutathione peroxidase 2"	1.34004855603394	0.0256623245838168	"YBR244W"
"Q12089"	"AEP3"	"ATPase expression protein 3"	1.33614480418171	0.00652091144653491	"YPL005W"
"P05453"	"SUP35"	"Eukaryotic peptide chain release factor GTP-binding subunit"	1.33329071928896	0.0063558278212106	"YDR172W"
"P50861"	"RIB4"	"6,7-dimethyl-8-ribityllumazine synthase"	1.32899087996073	0.00893590692478849	"YOL143C"
"P54839"	"ERG13"	"Hydroxymethylglutaryl-CoA synthase"	1.32847711753455	0.00651704150230983	"YML126C"
"P33201"	"MRT4"	"Ribosome assembly factor MRT4"	1.32659739210352	0.0151202673530481	"YKL009W"
"P25087"	"ERG6"	"Sterol 24-C-methyltransferase"	1.32606407570556	0.00360431586459419	"YML008C"
"P28707"	"SBA1"	"Co-chaperone protein SBA1"	1.32583362556706	0.0121063597895755	"YKL117W"
"P38805"	"RPF1"	"Ribosome production factor 1"	1.32499098550708	0.0253306571329984	"YHR088W"
"P25644"	"PAT1"	"DNA topoisomerase 2-associated protein PAT1"	1.32406566556445	0.0104118318818495	"YCR077C"
"Q02950"	"MRP51"	"37S ribosomal protein MRP51, mitochondrial"	1.32356522442803	0.00645527672064176	"YPL118W"
"Q04869"	""	"Uncharacterized protein YMR315W"	1.31933828805943	0.006008195534352	"YMR315W"
"P39958"	"GDI1"	"Rab GDP-dissociation inhibitor"	1.31619730445378	0.00875402982833452	"YER136W"
"P05759"	"RPS31"	"Ubiquitin-40S ribosomal protein S31;Ubiquitin;40S ribosomal protein S31"	1.31405850579766	0.00353527648651439	"YLR167W"
"P05738"	"RPL9A"	"60S ribosomal protein L9-A"	1.30779763258154	0.00548944495291919	"YGL147C"
"P32288"	"GLN1"	"Glutamine synthetase"	1.30367349398621	0.00319046653863179	"YPR035W"
"P17423"	"THR1"	"Homoserine kinase"	1.29806631303149	0.0208601017840607	"YHR025W"
"P04050"	"RPO21"	"DNA-directed RNA polymerase II subunit RPB1"	1.2939111255628	0.00830161852941615	"YDL140C"
"P28007"	"GAR1"	"H/ACA ribonucleoprotein complex subunit 1"	1.28831217793126	0.0218793181471444	"YHR089C"
"P53981"	""	"Uncharacterized phosphatase YNL010W"	1.28821843771269	0.00719958158637051	"YNL010W"
"P40302"	"PRE5"	"Proteasome subunit alpha type-6"	1.28070467555822	0.00429083009928268	"YMR314W"
"P49089"	"ASN1;ASN2"	"Asparagine synthetase [glutamine-hydrolyzing] 1;Asparagine synthetase [glutamine-hydrolyzing] 2"	1.2795242237848	0.0174837516505587	"YPR145W"
"Q08920"	"CBC2"	"Nuclear cap-binding protein subunit 2"	1.27932777704951	0.0122860043949625	"YPL178W"
"P22515"	"UBA1"	"Ubiquitin-activating enzyme E1 1"	1.27919234079194	0.026232259453032	"YKL210W"
"P29952"	"PMI40"	"Mannose-6-phosphate isomerase"	1.27882484454492	0.00738378228046461	"YER003C"
"Q12230"	"LSP1"	"Sphingolipid long chain base-responsive protein LSP1"	1.27554840141169	0.00375497043515405	"YPL004C"
"Q00916"	"SNP1"	"U1 small nuclear ribonucleoprotein 70 kDa homolog"	1.27490743615705	0.00721133690561097	"YIL061C"
"P38009"	"ADE17"	"Bifunctional purine biosynthesis protein ADE17;Phosphoribosylaminoimidazolecarboxamide formyltransferase;IMP cyclohydrolase"	1.27348814865088	0.00800748823095309	"YMR120C"
"P33322"	"CBF5"	"H/ACA ribonucleoprotein complex subunit 4"	1.26384403754216	0.00730521765972668	"YLR175W"
"P04806"	"HXK1"	"Hexokinase-1"	1.26060086077005	0.00409221341430396	"YFR053C"
"P49704"	"PRP31"	"Pre-mRNA-processing factor 31"	1.25552544221381	0.0290993082645513	"YGR091W"
"P15624"	"FRS1"	"Phenylalanine--tRNA ligase beta subunit"	1.2514242356692	0.00663687904908589	"YLR060W"
"P19358"	"SAM2"	"S-adenosylmethionine synthase 2"	1.24587199487555	0.015922377467965	"YDR502C"
"P32327"	"PYC2;PYC1"	"Pyruvate carboxylase 2;Pyruvate carboxylase 1"	1.24469705622393	0.00951388358176538	"YBR218C"
"P40470"	"RRT14"	"Regulator of rDNA transcription protein 14"	1.24044036390137	0.0055769479932356	"YIL127C"
"P38075"	"PDX3"	"Pyridoxamine 5-phosphate oxidase"	1.23888176895482	0.0128940204246314	"YBR035C"
"P36526"	"MRPL27"	"54S ribosomal protein L27, mitochondrial"	1.23842808841779	0.0206347844891587	"YBR282W"
"P38828"	"LSM12"	"Protein LSM12"	1.23507402603948	0.00470994557315056	"YHR121W"
"P00445"	"SOD1"	"Superoxide dismutase [Cu-Zn]"	1.23296352441022	0.00621925441191072	"YJR104C"
"P28241"	"IDH2"	"Isocitrate dehydrogenase [NAD] subunit 2, mitochondrial"	1.22841845972066	0.017861533993321	"YOR136W"
"P38712"	"RRP3"	"ATP-dependent rRNA helicase RRP3"	1.22675836977849	0.00719958158637051	"YHR065C"
"P36068"	"SHE2"	"SWI5-dependent HO expression protein 2"	1.22418785817442	0.00593453744526302	"YKL130C"
"P36060"	"MCR1"	"NADH-cytochrome b5 reductase 2;NADH-cytochrome b5 reductase p34 form;NADH-cytochrome b5 reductase p32 form"	1.22345158323168	0.00423115196662294	"YKL150W"
"P16862"	"PFK2"	"ATP-dependent 6-phosphofructokinase subunit beta"	1.21598812676829	0.0197421935638265	"YMR205C"
"P16861"	"PFK1"	"ATP-dependent 6-phosphofructokinase subunit alpha"	1.19933314406802	0.0105719587336794	"YGR240C"
"Q07551"	""	"NADPH-dependent alpha-keto amide reductase"	1.1950261494869	0.00409221341430396	"YDL124W"
"P15565"	"TRM1"	"tRNA (guanine(26)-N(2))-dimethyltransferase, mitochondrial"	1.19261471967303	0.00446912241060568	"YDR120C"
"P53252"	"PIL1"	"Sphingolipid long chain base-responsive protein PIL1"	1.19049231938464	0.0128940204246314	"YGR086C"
"Q05016"	""	"Uncharacterized oxidoreductase YMR226C"	1.19025581476432	0.0202151758615472	"YMR226C"
"P12945"	"NAT1"	"N-terminal acetyltransferase A complex subunit NAT1"	1.18772288401328	0.00504427843151576	"YDL040C"
"P36010"	"YNK1"	"Nucleoside diphosphate kinase"	1.18052692308981	0.0341569613493983	"YKL067W"
"P51401"	"RPL9A;RPL9B"	"60S ribosomal protein L9-A;60S ribosomal protein L9-B"	1.1763304673304	0.00652103993366989	"YNL067W"
"P31373"	"CYS3"	"Cystathionine gamma-lyase"	1.16759559189404	0.0119475917836896	"YAL012W"
"P07149"	"FAS1"	"Fatty acid synthase subunit beta;3-hydroxyacyl-[acyl-carrier-protein] dehydratase;Enoyl-[acyl-carrier-protein] reductase [NADH];[Acyl-carrier-protein] acetyltransferase;[Acyl-carrier-protein] malonyltransferase;S-acyl fatty acid synthase thioesterase"	1.16304208150005	0.0433731732863731	"YKL182W"
"P20448"	"HCA4"	"ATP-dependent RNA helicase HCA4"	1.1548766073968	0.0453358540324119	"YJL033W"
"P00899"	"TRP2"	"Anthranilate synthase component 1"	1.15414675879468	0.0119946877108839	"YER090W"
"Q12220"	"DIP2"	"U3 small nucleolar RNA-associated protein 12"	1.14903756941168	0.00755332975014451	"YLR129W"
"P38698"	"PPX1"	"Exopolyphosphatase"	1.1419774112562	0.0265983951697164	"YHR201C"
"Q12000"	"TMA46"	"Translation machinery-associated protein 46"	1.14193671387507	0.0285001803313502	"YOR091W"
"P32606"	"PET127"	"Putative mitochondrial translation system component PET127"	1.13900777884165	0.0128940204246314	"YOR017W"
"P38711"	"RPS27B;RPS27A"	"40S ribosomal protein S27-B;40S ribosomal protein S27-A"	1.13064835862775	0.00948764188318681	"YHR021C"
"Q08985"	"SAM4"	"Homocysteine S-methyltransferase 2"	1.12843041116042	0.0139312550079075	"YPL273W"
"P29509"	"TRR1"	"Thioredoxin reductase 1"	1.12263426524689	0.0256623245838168	"YDR353W"
"P00560"	"PGK1"	"Phosphoglycerate kinase"	1.12218038720387	0.0106542297463879	"YCR012W"
"P39743"	"RVS167"	"Reduced viability upon starvation protein 167"	1.1146173797707	0.00862876605600122	"YDR388W"
"P53297"	"PBP1"	"PAB1-binding protein 1"	1.11350467662269	0.0128791127967156	"YGR178C"
"P40482"	"SEC24"	"Protein transport protein SEC24"	1.11075569056501	0.0105469127649417	"YIL109C"
"P14742"	"GFA1"	"Glutamine--fructose-6-phosphate aminotransferase [isomerizing]"	1.11037059570617	0.0139100493137908	"YKL104C"
"P00931"	"TRP5"	"Tryptophan synthase"	1.10942016984587	0.0173681588953879	"YGL026C"
"P25382"	"RSA4"	"Ribosome assembly protein 4"	1.10755309080736	0.00972356334301144	"YCR072C"
"P45978"	"SCD6"	"Protein SCD6"	1.10526607987656	0.00754522881140531	"YPR129W"
"P36516"	"MRPL3"	"54S ribosomal protein L3, mitochondrial"	1.10388443566972	0.0149922158757943	"YMR024W"
"Q3E754"	"RPS21A;RPS21B"	"40S ribosomal protein S21-A;40S ribosomal protein S21-B"	1.10205506058973	0.0216273637513336	"YJL136C"
