Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides YAL6Bproteome	Razor + unique peptides YAL6Bproteome	Unique peptides YAL6Bproteome	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Fraction average	Fraction 1	Fraction 2	Fraction 3	Fraction 4	Fraction 5	Fraction 6	Fraction 7	Fraction 8	Q-value	Score	Sequence coverage YAL6Bproteome [%]	Intensity	Intensity YAL6Bproteome	MS/MS Count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
YDR196C	YDR196C	3	3	3	>YDR196C pep:known chromosome:R64-1-1:IV:850274:850999:-1 gene:YDR196C transcript:YDR196C description:Probable dephospho-CoA kinase (DPCK) that catalyzes the last step in coenzyme A biosynthesis\x3b null mutant lethality is complemented by E. coli coaE (e	1	3	3	3	3	3	3	19.9	19.9	19.9	27.339	241	241	2		3							0	10.84	19.9	239910000	239910000	3				711	4404;11752;24746	True;True;True	4625;12289;26000	12553;33201;67777	14331;38016;76640	14331;38016;76640		
YDR200C	YDR200C	1	1	1	>YDR200C pep:known chromosome:R64-1-1:IV:854279:856093:-1 gene:YDR200C transcript:YDR200C description:Protein required for cytoplasm to vacuole targeting of proteins\x3b forms a complex with Far3p and Far7p to Far11p involved in recovery from pheromone-in	1	1	1	1	1	1	1	1.7	1.7	1.7	67.283	604	604	6						1			0.0068259	1.6054	1.7	24582000	24582000	1				712	26063	True	27390	71750	81145	81145		
YDR202C	YDR202C	2	2	2	>YDR202C pep:known chromosome:R64-1-1:IV:856898:857953:-1 gene:YDR202C transcript:YDR202C description:Subunit of RAVE (Rav1p, Rav2p, Skp1p), a complex that associates with the V1 domain of the vacuolar membrane (H+)-ATPase (V-ATPase) and promotes assembly	1	2	2	2	2	2	2	8.5	8.5	8.5	40.017	351	351	3			2						0	4.91	8.5	38303000	38303000	2				713	1632;15141	True;True	1744;15803	5281;42371	6136;48266	6136;48266		
YDR204W	YDR204W	2	2	2	>YDR204W pep:known chromosome:R64-1-1:IV:858137:859144:1 gene:YDR204W transcript:YDR204W description:Protein with a role in ubiquinone (Coenzyme Q) biosynthesis, possibly functioning in stabilization of Coq7p\x3b located on the matrix face of the mitochon	1	2	2	2	2	2	2	8.7	8.7	8.7	38.627	335	335	2.75		1	3						0	4.4325	8.7	146730000	146730000	4				714	4280;21119	True;True	4496;22215	12190;12191;57955;57956	13919;13920;65512;65513	13919;65513		
YDR205W	YDR205W	2	2	2	>YDR205W pep:known chromosome:R64-1-1:IV:859346:861520:1 gene:YDR205W transcript:YDR205W description:Member of the cation diffusion facilitator family, localizes to the endoplasmic reticulum and nucleus\x3b mutations affect the cellular distribution of zi	1	2	2	2	2	2	2	2.9	2.9	2.9	80.577	724	724	3.5		1			1				0.0043315	1.8666	2.9	9907800	9907800	2				715	3878;18751	True;True	4077;19738	11079;52003	12614;58957	12614;58957		
YDR208W	YDR208W	3	3	3	>YDR208W pep:known chromosome:R64-1-1:IV:868224:870563:1 gene:YDR208W transcript:YDR208W description:Phosphatidylinositol-4-phosphate 5-kinase, involved in actin cytoskeleton organization and cell morphogenesis\x3b multicopy suppressor of stt4 mutation	1	3	3	3	3	3	3	3.1	3.1	3.1	89.319	779	779	6						3			0.0006402	3.6729	3.1	88015000	88015000	3				716	3940;22093;25442	True;True;True	4144;23229;26736	11229;60646;69864	12772;68590;79001	12772;68590;79001		
YDR211W	YDR211W	13	13	13	>YDR211W pep:known chromosome:R64-1-1:IV:884727:886865:1 gene:YDR211W transcript:YDR211W description:Catalytic epsilon subunit of the translation initiation factor eIF2B, the guanine-nucleotide exchange factor for eIF2\x3b activity subsequently regulated 	1	13	13	13	13	13	13	21.6	21.6	21.6	81.16	712	712	6.03	1		2	2	3	15	9	5	0	91.733	21.6	2506400000	2506400000	36				717	583;2286;2859;4051;9305;10433;10633;12022;17461;23127;26456;27457;29314	True;True;True;True;True;True;True;True;True;True;True;True;True	619;2429;3018;4260;9739;10926;10927;11131;12574;18308;24312;27813;28871;30821	1920;7250;8640;8641;11500;11501;11502;11503;26274;29766;29767;29768;29769;29770;30247;30248;33971;33972;33973;33974;33975;33976;48763;63433;72968;72969;72970;72971;72972;72973;72974;72975;72976;75830;81553;81554;81555	2388;8426;9934;9935;13061;13062;13063;13064;29966;34257;34258;34259;34260;34261;34784;34785;38871;38872;38873;38874;38875;38876;55445;71713;82531;82532;82533;82534;82535;82536;82537;82538;82539;85770;92510;92511;92512	2388;8426;9935;13062;29966;34261;34784;38876;55445;71713;82535;85770;92511	347	424
YDR212W	YDR212W	18	18	18	>YDR212W pep:known chromosome:R64-1-1:IV:887232:888911:1 gene:YDR212W transcript:YDR212W description:Alpha subunit of chaperonin-containing T-complex, which mediates protein folding in the cytosol\x3b involved in actin cytoskeleton maintenance\x3b overexp	1	18	18	18	18	18	18	43.8	43.8	43.8	60.48	559	559	5.11		3	4	8	21	8	4	5	0	265.48	43.8	8483800000	8483800000	55				718	3751;6146;7580;8447;10080;10229;11064;11535;12069;12390;16272;20933;21065;21361;22634;24119;24407;25864	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	3947;6441;7927;8831;10562;10714;11570;12057;12622;12949;16988;16989;22027;22161;22467;23791;25353;25644;27183	10778;17199;21248;21249;21250;23614;23615;23616;28730;29136;29137;31389;31390;31391;31392;32658;34081;35014;35015;35016;35017;35018;35019;35020;35021;45405;45406;45407;45408;45409;57514;57515;57840;57841;57842;57843;57844;57845;58624;58625;58626;58627;62109;62110;66185;66186;66898;66899;66900;66901;66902;71218;71219	12279;19550;24187;24188;24189;24190;24191;26767;26768;26769;33001;33474;33475;36026;36027;36028;36029;37409;38986;40075;40076;40077;40078;40079;40080;40081;40082;51654;51655;51656;51657;51658;65032;65033;65395;65396;65397;65398;65399;65400;66250;66251;66252;66253;70262;70263;74867;74868;75683;75684;75685;75686;75687;80562;80563	12279;19550;24188;26768;33001;33474;36027;37409;38986;40080;51655;65033;65397;66252;70262;74867;75684;80563	348	486
YDR214W	YDR214W	12	12	12	>YDR214W pep:known chromosome:R64-1-1:IV:892875:893927:1 gene:YDR214W transcript:YDR214W description:Co-chaperone that binds to Hsp82p and activates its ATPase activity\x3b similar to Hch1p\x3b expression is regulated by stresses such as heat shock	1	12	12	12	12	12	12	49.1	49.1	49.1	39.435	350	350	4.8	2	3	4	15	7	4	3	7	0	134.2	49.1	5564100000	5564100000	44				719	3189;16239;16838;17884;17970;23971;24366;24901;27832;28346;28946;29284	True;True;True;True;True;True;True;True;True;True;True;True	3359;16954;17576;18838;18926;25200;25602;26167;29268;29805;30434;30790	9458;9459;9460;9461;9462;45290;45291;45292;45293;45294;45295;47064;47065;47066;47067;47068;49948;49949;49950;49951;49952;49953;50168;50169;50170;65814;65815;65816;65817;65818;65819;65820;66812;66813;68260;68261;68262;68263;76970;78474;80400;80401;80402;80403;81460	10849;10850;10851;10852;10853;51521;51522;51523;51524;51525;51526;51527;53600;53601;53602;53603;53604;56732;56733;56734;56735;56736;56737;56984;56985;56986;74465;74466;74467;74468;74469;74470;74471;75594;75595;77212;77213;77214;77215;87143;88863;91136;91137;91138;91139;92405	10850;51522;53604;56733;56986;74467;75594;77213;87143;88863;91136;92405		
YDR216W	YDR216W	5	5	5	>YDR216W pep:known chromosome:R64-1-1:IV:895035:899006:1 gene:YDR216W transcript:YDR216W description:Carbon source-responsive zinc-finger transcription factor, required for transcription of the glucose-repressed gene ADH2, of peroxisomal protein genes, an	1	5	5	5	5	5	5	3.6	3.6	3.6	150.94	1323	1323	6.5				1			5		0	9.5475	3.6	80829000	80829000	6				720	10983;11175;20079;24632;28083	True;True;True;True;True	11488;11686;21138;25879;29528	31175;31666;55379;67412;77675;77676	35800;36323;62747;76235;87932;87933	35800;36323;62747;76235;87932		
YDR217C	YDR217C	1	1	1	>YDR217C pep:known chromosome:R64-1-1:IV:899551:903480:-1 gene:YDR217C transcript:YDR217C description:DNA damage-dependent checkpoint protein, required for cell-cycle arrest in G1/S, intra-S, and G2/M\x3b transmits checkpoint signal by activating Rad53p a	1	1	1	1	1	1	1	0.8	0.8	0.8	148.4	1309	1309	5.5					1	1			0.0029326	2.0744	0.8	6073000	6073000	2				721	23106	True	24291	63393;63394	71672;71673	71672		
YDR221W	YDR221W	15	15	15	>YDR221W pep:known chromosome:R64-1-1:IV:907330:909438:1 gene:YDR221W transcript:YDR221W description:Glucosidase II beta subunit, forms a complex with alpha subunit Rot2p, involved in removal of two glucose residues from N-linked glycans during glycoprote	1	15	15	15	15	15	15	21.8	21.8	21.8	79.907	702	702	6.15						17	3		0	69.47	21.8	1288600000	1288600000	19				722	4229;4468;5404;8264;9428;11447;11997;15691;23883;27983;28042;28097;28527;28939;28940	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	4443;4693;5660;8640;9875;11964;12547;16389;25108;29426;29485;29542;29989;30426;30427	12054;12055;12721;15265;23110;23111;26751;32428;33870;33871;43818;65625;77425;77426;77583;77709;79048;80384;80385;80386	13762;13763;14514;17388;26208;26209;30696;37162;38762;38763;49836;74262;87665;87666;87836;87969;89551;91120;91121;91122	13762;14514;17388;26209;30696;37162;38762;49836;74262;87665;87836;87969;89551;91120;91121		
YDR222W	YDR222W	2	2	2	>YDR222W pep:known chromosome:R64-1-1:IV:910054:911301:1 gene:YDR222W transcript:YDR222W description:Protein of unknown function\x3b green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm in a punctate pattern	1	2	2	2	2	2	2	4.8	4.8	4.8	47.413	415	415	4				2					0.0026525	2.1487	4.8	36506000	36506000	2				723	15790;17423	True;True	16489;18253	44131;48631	50195;55306	50195;55306		
YDR226W	YDR226W	16	16	16	>YDR226W pep:known chromosome:R64-1-1:IV:916486:917154:1 gene:YDR226W transcript:YDR226W description:Adenylate kinase, required for purine metabolism\x3b localized to the cytoplasm and the mitochondria\x3b lacks cleavable signal sequence	1	16	16	16	16	16	16	90.1	90.1	90.1	24.254	222	222	2.7	6	34	8	1	1	1	2	3	0	323.31	90.1	22512000000	22512000000	61				724	2556;2557;2607;4414;4415;5748;9208;9210;9211;11523;18319;21535;21536;24478;25547;27169	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	2706;2707;2757;4635;4636;4637;4638;6030;9635;9636;9638;9639;12041;12042;12043;19291;22648;22649;25720;26847;28569	7860;7861;7862;7863;7963;7964;7965;7966;7967;12593;12594;12595;12596;12597;12598;12599;16161;25859;25860;25861;25862;25863;25864;25866;25867;25868;25869;25870;25871;25872;32626;32627;32628;32629;32630;50954;50955;59167;59168;59169;59170;59171;59172;59173;59174;59175;59176;59177;59178;67055;67056;67057;67058;70199;70200;75026	9080;9081;9082;9083;9188;9189;9190;9191;9192;14383;14384;14385;14386;14387;14388;14389;18416;29391;29392;29393;29394;29395;29396;29398;29399;29400;29401;29402;29403;29404;29405;29406;37377;37378;37379;37380;37381;57824;57825;66911;66912;66913;66914;66915;66916;66917;66918;66919;66920;66921;66922;66923;66924;66925;66926;75844;75845;75846;75847;75848;79394;79395;84819	9081;9082;9188;14385;14388;18416;29393;29399;29403;37378;57824;66911;66925;75845;79394;84819	349;350;351;352;353	40;59;70;73;155
YDR227W	YDR227W	3	3	3	>YDR227W pep:known chromosome:R64-1-1:IV:917571:921647:1 gene:YDR227W transcript:YDR227W description:Silent information regulator that, together with SIR2 and SIR3, is involved in assembly of silent chromatin domains at telomeres and the silent mating-typ	1	3	3	3	3	3	3	2.4	2.4	2.4	152.06	1358	1358	6					2		2		0	4.3171	2.4	209870000	209870000	4				725	10000;24555;28772	True;True;True	10478;25800;30242	28513;28514;67209;79793	32777;32778;76009;90437	32778;76009;90437		
YDR228C	YDR228C	6	6	6	>YDR228C pep:known chromosome:R64-1-1:IV:921926:923806:-1 gene:YDR228C transcript:YDR228C description:mRNA 3 end processing factor, essential component of cleavage and polyadenylation factor IA (CF IA), involved in pre-mRNA 3 end processing and in trans	1	6	6	6	6	6	6	10.7	10.7	10.7	71.897	626	626	6						6			0	11.834	10.7	168530000	168530000	6				726	9120;11739;16670;18098;21188;27561	True;True;True;True;True;True	9541;12276;17405;19056;22287;28981	25645;33184;46649;50420;58113;76106	29165;37998;53153;57242;65675;86076	29165;37998;53153;57242;65675;86076		
YDR231C	YDR231C	1	1	1	>YDR231C pep:known chromosome:R64-1-1:IV:926293:926910:-1 gene:YDR231C transcript:YDR231C description:Mitochondrial inner membrane protein, required for proteolytic processing of Cox2p and its assembly into cytochrome c oxidase	1	1	1	1	1	1	1	7.3	7.3	7.3	23.758	205	205	2		1							0.00064123	3.7036	7.3	127110000	127110000	1				727	203	True	219	696	950	950		
YDR232W	YDR232W	10	10	10	>YDR232W pep:known chromosome:R64-1-1:IV:927452:929098:1 gene:YDR232W transcript:YDR232W description:5-aminolevulinate synthase, catalyzes the first step in the heme biosynthetic pathway\x3b an N-terminal signal sequence is required for localization to th	1	10	10	10	10	10	10	30.8	30.8	30.8	59.362	548	548	5.23					17	5			0	190.98	30.8	4811000000	4811000000	24				728	4699;9902;9945;10389;20223;25008;26827;28836;29633;29636	True;True;True;True;True;True;True;True;True;True	4928;10375;10420;10421;10882;21288;26278;28208;30315;31155;31158	13343;13344;13345;28247;28371;28372;28373;28374;28375;29690;55759;68545;68546;73931;73932;73933;73934;79995;82543;82544;82550;82551	15222;15223;15224;15225;32480;32620;32621;32622;32623;32624;32625;32626;34179;63157;63158;77530;77531;83578;83579;83580;83581;90666;93628;93629;93636;93637	15225;32480;32623;34179;63157;77530;83578;90666;93628;93636	354	136
YDR233C	YDR233C	12	12	12	>YDR233C pep:known chromosome:R64-1-1:IV:929470:930357:-1 gene:YDR233C transcript:YDR233C description:ER membrane protein that interacts with Sey1p to maintain ER morphology\x3b interacts with exocyst subunit Sec6p, with Yip3p, and with Sbh1p\x3b null mut	1	12	12	12	12	12	12	54.2	54.2	54.2	32.916	295	295	4.44	8	7	10	14	8	7	7	9	0	323.31	54.2	11082000000	11082000000	77				729	2067;13844;14594;14758;18758;20279;22610;22677;25135;25844;26318;26789	True;True;True;True;True;True;True;True;True;True;True;True	2200;14450;15227;15400;19745;21345;23766;23767;23837;26414;27162;27667;27668;28168	6735;38858;38859;38860;38861;38862;40695;40696;40697;41203;41204;41205;52028;52029;52030;55864;55865;55866;55867;55868;55869;55870;55871;55872;55873;55874;55875;55876;55877;62030;62031;62032;62033;62034;62035;62036;62037;62038;62039;62040;62041;62042;62043;62044;62045;62259;62260;68984;68985;68986;68987;68988;68989;68990;71155;71156;71157;71158;72463;72464;72465;72466;72467;72468;72469;72470;72471;72472;72473;73828	7857;44402;44403;44404;44405;44406;44407;46377;46378;46379;46954;46955;46956;58982;58983;58984;58985;63268;63269;63270;63271;63272;63273;63274;63275;63276;63277;63278;63279;63280;63281;63282;63283;70179;70180;70181;70182;70183;70184;70185;70186;70187;70188;70189;70190;70191;70192;70193;70194;70433;70434;78034;78035;78036;78037;78038;78039;78040;78041;78042;80496;80497;80498;80499;81962;81963;81964;81965;81966;81967;81968;81969;81970;81971;81972;81973;83458	7857;44404;46379;46956;58982;63270;70183;70433;78037;80497;81963;83458	355	192
YDR234W	YDR234W	15	15	15	>YDR234W pep:known chromosome:R64-1-1:IV:931129:933210:1 gene:YDR234W transcript:YDR234W description:Homoaconitase, catalyzes the conversion of homocitrate to homoisocitrate, which is a step in the lysine biosynthesis pathway	1	15	15	15	15	15	15	31.7	31.7	31.7	75.15	693	693	5.63			3	4	4	19	2	3	0	323.31	31.7	4485600000	4485600000	33				730	486;2383;5420;8353;8925;12500;14786;17189;18750;19038;25776;27076;28624;28999;30424	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	519;2529;5676;8732;9333;13063;15431;17942;19737;20046;27091;28469;30089;30488;31978	1582;7482;15288;15289;15290;23316;23317;25033;35314;35315;35316;35317;35318;41273;41274;41275;41276;41277;41278;41279;47995;52001;52002;52741;52742;70936;70937;70938;70939;74753;79333;79334;79335;80572;84682	2000;8681;8682;17412;17413;17414;26429;26430;28416;40412;40413;40414;40415;40416;47028;47029;47030;47031;47032;47033;47034;54630;58955;58956;59816;59817;80258;80259;80260;80261;84510;89859;89860;89861;91319;96021	2000;8681;17414;26430;28416;40413;47034;54630;58955;59817;80259;84510;89860;91319;96021		
YDR236C	YDR236C	3	3	3	>YDR236C pep:known chromosome:R64-1-1:IV:935236:935892:-1 gene:YDR236C transcript:YDR236C description:Riboflavin kinase, phosphorylates riboflavin to form riboflavin monophosphate (FMN), which is a necessary cofactor for many enzymes\x3b localizes to micr	1	3	3	3	3	3	3	13.3	13.3	13.3	24.537	218	218	1.33	4	2							0	9.6409	13.3	310520000	310520000	5				731	18012;18989;26093	True;True;True	18968;19997;27424	50240;50241;52615;52616;71852;71853	57058;57059;59669;59670;81260;81261	57058;59670;81261		
YDR237W	YDR237W	6	6	6	>YDR237W pep:known chromosome:R64-1-1:IV:936615:937493:1 gene:YDR237W transcript:YDR237W description:Mitochondrial ribosomal protein of the large subunit\x3b MRPL7 produces both YmL5 and YmL7, which are two different modified forms of the same protein	1	6	6	6	6	6	6	23.3	23.3	23.3	33.099	292	292	3			10						0	8.1724	23.3	728700000	728700000	10				732	1426;6855;16470;18091;20509;22735	True;True;True;True;True;True	1530;7174;17200;19049;21584;23898	4551;4552;19277;46006;46007;50409;56380;56381;62403;62404	5298;5299;5300;21950;52338;52339;57231;63801;63802;70588;70589	5298;21950;52338;57231;63801;70589		
YDR238C	YDR238C	22	22	22	>YDR238C pep:known chromosome:R64-1-1:IV:937895:940816:-1 gene:YDR238C transcript:YDR238C description:Essential beta-coat protein of the COPI coatomer, involved in ER-to-Golgi protein trafficking and maintenance of normal ER morphology\x3b shares 43% sequ	1	22	22	22	22	22	22	30.8	30.8	30.8	109.02	973	973	6.03	1	3	3	9	5	19	25	13	0	262.56	30.8	7325800000	7325800000	82				733	888;1175;2053;3707;4954;5361;8044;8908;9202;9754;11035;14920;15297;18452;18678;21956;21957;24123;24361;26220;26812;28569	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	949;1259;2183;3903;5196;5617;8410;9316;9629;10214;11541;15572;15967;19427;19661;23092;23093;25357;25597;27565;28193;30032	2789;2790;2791;3751;3752;3753;6668;10684;10685;14139;14140;14141;15163;15164;15165;22524;22525;22526;22527;22528;22529;22530;22531;22532;22533;22534;24917;25844;27827;27828;27829;27830;27831;27832;31307;31308;31309;31310;31311;41727;41728;41729;41730;41731;42776;42777;51264;51265;51266;51835;51836;51837;60327;60328;60329;60330;60331;66195;66196;66197;66198;66199;66801;66802;72166;72167;72168;72169;72170;73890;73891;73892;73893;79198;79199;79200;79201;79202	3333;3334;3335;4415;4416;4417;7782;12184;12185;16158;16159;16160;17282;17283;17284;17285;25583;25584;25585;25586;25587;25588;25589;25590;25591;25592;25593;28247;29376;31984;31985;31986;31987;31988;31989;31990;31991;31992;35939;35940;35941;35942;35943;47521;47522;47523;47524;47525;47526;48688;48689;58154;58155;58156;58782;58783;58784;68248;68249;68250;68251;68252;74877;74878;74879;74880;74881;75583;75584;81607;81608;81609;81610;81611;83527;83528;83529;83530;89713;89714;89715;89716;89717	3335;4417;7782;12184;16159;17282;25590;28247;29376;31986;35943;47522;48688;58155;58784;68248;68251;74880;75583;81609;83530;89714		
YDR240C	YDR240C	2	2	2	>YDR240C pep:known chromosome:R64-1-1:IV:943674:945152:-1 gene:YDR240C transcript:YDR240C description:Component of U1 snRNP required for mRNA splicing via spliceosome\x3b yeast specific, no metazoan counterpart\x3b interacts with mRNA in commitment comple	1	2	2	2	2	2	2	5.7	5.7	5.7	56.498	492	492	5					2				0.00090662	2.5448	5.7	54299000	54299000	2				734	8926;26429	True;True	9334;27783	25034;72847	28417;82398	28417;82398		
YDR245W	YDR245W	5	5	5	>YDR245W pep:known chromosome:R64-1-1:IV:952800:953981:1 gene:YDR245W transcript:YDR245W description:Subunit of a Golgi mannosyltransferase complex also containing Anp1p, Mnn9p, Mnn11p, and Hoc1p that mediates elongation of the polysaccharide mannan backb	1	5	5	5	5	5	5	15	15	15	46.747	393	393	4.71			1	3	2			1	0	8.2763	15	392520000	392520000	8				735	16458;21324;22478;22488;23550	True;True;True;True;True	17188;22428;23629;23639;24758	45975;45976;58508;61622;61640;61641;64817	52304;52305;66117;69674;69693;69694;69695;73392	52304;66117;69674;69693;73392		
YDR246W	YDR246W	4	4	4	>YDR246W pep:known chromosome:R64-1-1:IV:954288:954947:1 gene:YDR246W transcript:YDR246W description:One of 10 subunits of the transport protein particle (TRAPP) complex of the cis-Golgi which mediates vesicle docking and fusion\x3b involved in endoplasmi	1	4	4	4	4	4	4	23.3	23.3	23.3	24.863	219	219	2		6							0	60.23	23.3	699860000	699860000	5				736	5675;23105;24717;29032	True;True;True;True	5953;24290;25970;30523	15922;63391;63392;67705;67706;80781	18085;71670;71671;76560;76561;91653	18085;71671;76561;91653		
YDR248C	YDR248C	8	8	8	>YDR248C pep:known chromosome:R64-1-1:IV:957758:958339:-1 gene:YDR248C transcript:YDR248C description:Putative protein of unknown function\x3b sequence similarity to bacterial and human gluconokinase\x3b green fluorescent protein (GFP)-fusion protein loca	1	8	8	8	8	8	8	46.1	46.1	46.1	22.174	193	193	1.5	7	7							0	49.158	46.1	1101700000	1101700000	16				737	3059;3965;4872;7054;17742;24628;25492;27861	True;True;True;True;True;True;True;True	3226;4171;5110;7378;18668;25875;26789;29297	9144;9145;11300;13875;13876;19839;19840;19841;49507;67407;67408;70002;77023;77024	10495;10496;12844;15872;15873;22558;22559;22560;22561;22562;56247;76230;76231;79152;87204;87205	10496;12844;15873;22562;56247;76231;79152;87205		
YDR251W	YDR251W	6	6	6	>YDR251W pep:known chromosome:R64-1-1:IV:960614:963106:1 gene:YDR251W transcript:YDR251W description:Essential protein of unknown function\x3b exhibits variable expression during colony morphogenesis\x3b overexpression permits survival without protein pho	1	6	6	6	6	6	6	8.8	8.8	8.8	92.871	830	830	5.6				1	3	5	1		0	24.903	8.8	523030000	523030000	8				738	1042;5172;5359;8104;19974;20792	True;True;True;True;True;True	1112;5422;5615;8473;21030;21875	3328;14715;14716;14717;15157;15158;15159;22686;55123;57119	3936;16797;16798;16799;17276;17277;17278;25755;62453;64608	3936;16799;17277;25755;62453;64608		
YDR257C	YDR257C	8	8	7	>YDR257C pep:known chromosome:R64-1-1:IV:969990:971474:-1 gene:YDR257C transcript:YDR257C description:Ribosomal lysine methyltransferase specific for monomethylation of Rpl42ap and Rpl42bp (lysine 55)\x3b nuclear SET-domain containing protein	1	8	8	7	8	8	7	17.6	17.6	16.2	57.288	494	494	5.58					9	1		2	0	31.674	17.6	1144700000	1144700000	11				739	2220;3100;5465;11765;12743;17754;21538;26628	True;True;True;True;True;True;True;True	2362;3267;5726;12302;13316;18686;22651;27991	7117;9259;15444;15445;33233;33234;36134;49572;49573;59182;59183;73393	8282;10630;17582;17583;38056;38057;41395;56323;56324;66930;66931;82984	8282;10630;17583;38057;41395;56323;66931;82984		
YDR258C	YDR258C	23	23	23	>YDR258C pep:known chromosome:R64-1-1:IV:971808:974243:-1 gene:YDR258C transcript:YDR258C description:Oligomeric mitochondrial matrix chaperone that cooperates with Ssc1p in mitochondrial thermotolerance after heat shock\x3b able to prevent the aggregatio	1	23	23	23	23	23	23	43.8	43.8	43.8	91.335	811	811	6.16					1	29	7		0	213.44	43.8	6624500000	6624500000	37				740	678;1232;1593;2249;5981;6115;11836;11837;12552;14025;15363;16612;16995;17731;18004;18917;21877;22186;25114;25240;28078;28223;30229	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	722;1318;1704;2392;6266;6407;12375;12376;13117;14640;16038;17345;17737;18655;18960;19925;23011;23012;23328;26391;26525;29523;29676;31774	2187;3923;3924;5145;5146;5147;7171;7172;16762;17101;17102;17103;33399;33400;35481;39395;42965;42966;46408;47522;49482;50223;50224;52476;60104;60105;60106;60863;68942;68943;69313;69314;77670;78089;78090;84160;84161	2675;4610;4611;5971;5972;5973;8338;8339;19072;19437;19438;19439;38229;38230;40611;44971;48894;48895;52793;54110;56222;57040;57041;59526;67988;67989;67990;68820;77992;77993;78387;78388;87927;88393;88394;95424;95425	2675;4610;5971;8339;19072;19439;38229;38230;40611;44971;48894;52793;54110;56222;57041;59526;67988;68820;77993;78387;87927;88394;95425	356	538
YDR261C	YDR261C	4	4	4	>YDR261C pep:known chromosome:R64-1-1:IV:977521:979209:-1 gene:YDR261C transcript:YDR261C description:Exo-1,3-beta-glucanase, involved in cell wall beta-glucan assembly\x3b may be anchored to the plasma membrane via a glycosylphosphatidylinositol (GPI) an	1	4	4	4	4	4	4	8.9	8.9	8.9	63.507	562	562	8								4	0	42.254	8.9	154470000	154470000	4				741	24067;25308;26929;29964	True;True;True;True	25296;26596;28314;31501	66038;69485;74303;83503	74709;78570;84017;94682	74709;78570;84017;94682		
YDR262W	YDR262W	2	2	2	>YDR262W pep:known chromosome:R64-1-1:IV:993134:993952:1 gene:YDR262W transcript:YDR262W description:Putative protein of unknown function\x3b green fluorescent protein (GFP)-fusion protein localizes to the vacuole and is induced in response to the DNA-dam	1	2	2	2	2	2	2	9.6	9.6	9.6	30.633	272	272	2.33		2	1						0	4.6011	9.6	87315000	87315000	3				742	7861;13577	True;True	8220;14171	21993;38128;38129	25012;43605;43606	25012;43605		
YDR264C	YDR264C	3	3	3	>YDR264C pep:known chromosome:R64-1-1:IV:996029:998323:-1 gene:YDR264C transcript:YDR264C description:Palmitoyl transferase involved in protein palmitoylation\x3b acts as a negative regulator of pheromone response pathway\x3b required for endocytosis of p	1	3	3	3	3	3	3	6.4	6.4	6.4	85.839	764	764	6.2						4	1		0	26.543	6.4	495570000	495570000	5				743	3770;10245;29946	True;True;True	3966;10730;31483	10826;29183;29184;29185;83455	12327;33524;33525;33526;94630	12327;33525;94630		
YDR266C	YDR266C	10	10	10	>YDR266C pep:known chromosome:R64-1-1:IV:1000104:1002023:-1 gene:YDR266C transcript:YDR266C description:Protein of unknown function that may interact with ribosomes, based on co-purification experiments\x3bgreen fluorescent protein (GFP)-fusion protein lo	1	10	10	10	10	10	10	16.6	16.6	16.6	72.755	639	639	6.2					2	9	3	1	0	29.378	16.6	368390000	368390000	13				744	2624;4129;7678;8995;13812;16753;17564;19408;22844;24041	True;True;True;True;True;True;True;True;True;True	2774;4343;8031;9408;14416;17488;18440;20426;24013;25270	8006;11773;21525;21526;21527;25237;38783;46836;49015;53665;53666;53667;62696;65984;65985	9238;13456;24484;24485;24486;28676;44320;53350;55713;60860;60861;60862;70919;74651;74652	9238;13456;24485;28676;44320;53350;55713;60862;70919;74651		
YDR267C	YDR267C	3	3	3	>YDR267C pep:known chromosome:R64-1-1:IV:1002510:1003502:-1 gene:YDR267C transcript:YDR267C description:WD40 repeat protein involved in assembly of cytosolic and nuclear iron-sulfur proteins\x3b similar to the human Ciao1 protein\x3b YDR267C is an essenti	1	3	3	3	3	3	3	17.6	17.6	17.6	37.274	330	330	3			3						0	39.821	17.6	157710000	157710000	3				745	4586;20912;25328	True;True;True	4812;22002;26617	13056;57448;69539	14908;64954;78626	14908;64954;78626		
